"id","h_year","age","year_birth","height"
5061,1821,26,1795,62.5
5062,1820,30,1790,60.5
5064,1821,23,1798,59
5065,1820,19,1801,59
5067,1820,33,1787,60
5069,1820,21,1799,55
5070,1820,18,1802,56.75
5071,1820,18,1802,59.5
5072,1820,37,1783,59.5
5074,1820,43,1777,62.5
5075,1820,29,1791,62
5077,1821,28,1793,62.5
5079,1821,50,1771,59.5
5081,1820,20,1800,61.5
5082,1820,20,1800,62.25
5083,1820,31,1789,59.5
5085,1820,32,1788,60.5
5090,1820,20,1800,60.5
5092,1821,25,1796,61
5093,1820,42,1778,58.25
5094,1821,32,1789,63
5095,1820,24,1796,63.5
5096,1820,22,1798,63
5097,1820,55,1765,62.5
5100,1820,45,1775,60.25
5101,1820,40,1780,60.25
5103,1821,17,1804,61
5104,1820,27,1793,62.25
5111,1821,27,1794,63.75
5115,1820,40,1780,58.5
5116,1820,25,1795,59.5
5117,1821,28,1793,59.5
5118,1821,42,1779,61.25
5120,1820,38,1782,59.5
5122,1820,27,1793,60.5
5130,1820,22,1798,57.75
5136,1820,26,1794,58
5137,1820,29,1791,62
5139,1820,28,1792,65.75
5142,1821,21,1800,58.5
5148,1820,23,1797,59.25
5149,1821,23,1798,62.5
5151,1820,36,1784,59
5153,1821,27,1794,57.25
5154,1821,22,1799,61
5155,1820,40,1780,61
5157,1820,17,1803,59.5
5158,1820,20,1800,59.5
5159,1821,32,1789,59
5160,1820,20,1800,58.5
5162,1821,19,1802,57.5
5164,1821,28,1793,57
5165,1821,20,1801,59.25
5167,1821,22,1799,62
5168,1821,33,1788,56
5169,1821,23,1798,61.5
5170,1821,23,1798,59.5
5172,1821,23,1798,58.5
5177,1820,26,1794,59
5178,1821,26,1795,61.5
5179,1821,27,1794,61.25
5181,1821,17,1804,63
5182,1821,22,1799,62.25
5185,1821,25,1796,55.25
5186,1821,23,1798,61.25
5187,1821,19,1802,58.5
5193,1821,16,1805,61
5196,1821,17,1804,64
5199,1821,46,1775,66
5200,1821,25,1796,60.5
5203,1821,29,1792,59.5
5204,1820,20,1800,62
5206,1821,22,1799,62
5207,1821,33,1788,64
5208,1821,26,1795,59.5
5210,1821,42,1779,62.25
5211,1821,27,1794,57
5212,1821,20,1801,61
5215,1821,23,1798,62.5
5216,1821,23,1798,61.75
5217,1821,40,1781,60
5218,1821,27,1794,60.75
5219,1821,36,1785,63.25
5220,1821,18,1803,60.25
5223,1821,27,1794,61
5224,1821,43,1778,59
5226,1821,35,1786,63.25
5228,1821,42,1779,66.5
5229,1821,42,1779,60.25
5230,1821,23,1798,66.5
5232,1821,19,1802,57.25
5237,1821,19,1802,63.25
5238,1820,34,1786,64.25
5239,1821,36,1785,64.75
5241,1821,20,1801,63.75
5242,1821,23,1798,61.5
5244,1821,20,1801,62.75
5247,1821,40,1781,59.5
5248,1821,48,1773,71.5
5249,1821,30,1791,58
5250,1821,16,1805,59.25
5252,1821,25,1796,61.75
5253,1820,27,1793,60.75
5254,1821,19,1802,57.5
5255,1821,16,1805,63.5
5257,1821,18,1803,62.25
5259,1821,30,1791,61.75
5262,1821,30,1791,63.75
5263,1821,27,1794,61.5
5264,1821,45,1776,61.25
5270,1821,24,1797,61.5
5272,1822,38,1784,58.5
5273,1822,24,1798,58.5
5276,1821,25,1796,60.75
5277,1822,22,1800,65.25
5278,1822,22,1800,55.75
5280,1822,16,1806,57.5
5281,1823,25,1798,60
5285,1821,29,1792,59.25
5286,1822,23,1799,61.75
5287,1822,26,1796,59.75
5289,1822,24,1798,61.5
5293,1822,23,1799,61.5
5294,1822,30,1792,60.75
5297,1822,22,1800,60.75
5298,1822,16,1806,59.75
5301,1821,26,1795,60.5
5302,1821,30,1791,63.25
5303,1820,24,1796,60
5304,1821,19,1802,59
5307,1821,29,1792,56.25
5308,1821,28,1793,61
5310,1822,34,1788,61.5
5312,1821,16,1805,61
5321,1821,18,1803,58.75
5322,1822,28,1794,62.25
5324,1822,28,1794,64
5326,1821,25,1796,62
5329,1821,28,1793,61.25
5333,1821,39,1782,58.75
5334,1822,21,1801,60.5
5338,1822,34,1788,63.75
5339,1822,45,1777,60.25
5344,1821,35,1786,60.25
5345,1821,28,1793,66
5346,1822,21,1801,60.75
5347,1821,43,1778,58.5
5350,1821,25,1796,59.5
5353,1821,19,1802,59.5
5355,1821,40,1781,59.25
5357,1822,16,1806,62
5358,1822,32,1790,60.25
5360,1822,18,1804,59.25
5361,1820,23,1797,62.5
5364,1822,37,1785,63.25
5365,1823,30,1793,59
5366,1822,22,1800,63
5367,1820,19,1801,62
5368,1821,25,1796,63.5
5369,1821,27,1794,62.5
5370,1821,31,1790,60.25
5371,1822,34,1788,62.5
5372,1821,24,1797,61.5
5373,1821,30,1791,60
5374,1822,21,1801,59.75
5375,1822,22,1800,66.5
5376,1821,22,1799,63.25
5377,1822,27,1795,61.25
5378,1822,22,1800,64.25
5379,1821,26,1795,65
5380,1822,19,1803,63.25
5381,1821,22,1799,58.5
5382,1822,42,1780,59.5
5383,1821,18,1803,57.75
5384,1822,20,1802,59
5386,1822,34,1788,58
5387,1822,27,1795,64.5
5388,1821,30,1791,60.25
5389,1822,23,1799,63
5390,1820,35,1785,60.5
5391,1821,28,1793,65.25
5392,1822,17,1805,56
5393,1822,24,1798,62
5394,1822,19,1803,59.5
5395,1823,33,1790,62
5396,1822,30,1792,58.75
5397,1821,20,1801,63.25
5399,1821,26,1795,58.5
5400,1822,27,1795,57.75
5401,1822,26,1796,61
5402,1821,22,1799,59.5
5403,1821,40,1781,59
5404,1821,24,1797,63.5
5405,1821,32,1789,64.75
5406,1821,21,1800,64
5407,1823,30,1793,58.75
5408,1822,25,1797,58.5
5409,1821,25,1796,60.75
5410,1820,40,1780,61.5
5411,1821,24,1797,60.25
5413,1821,26,1795,59.5
5415,1822,27,1795,65
5416,1823,30,1793,58.5
5417,1823,27,1796,59.75
5418,1822,25,1797,64.5
5419,1822,26,1796,65.75
5420,1821,26,1795,69.5
5421,1821,22,1799,59.5
5422,1822,27,1795,62
5423,1822,35,1787,59.75
5424,1822,18,1804,61.5
5426,1822,25,1797,58.75
5427,1822,19,1803,58.25
5428,1821,22,1799,59.75
5429,1821,24,1797,62.75
5430,1822,23,1799,59.5
5431,1822,28,1794,62.75
5432,1821,22,1799,58
5434,1821,22,1799,60
5435,1822,22,1800,62
5436,1822,27,1795,62.25
5437,1821,30,1791,64.75
5438,1821,22,1799,60
5439,1822,23,1799,61.25
5440,1821,19,1802,58
5441,1821,23,1798,58.75
5442,1822,24,1798,62
5443,1821,22,1799,64.5
5444,1821,40,1781,59
5445,1821,30,1791,63
5446,1821,19,1802,62
5447,1821,18,1803,63
