"id","h_year","age","year_birth","height"
2520,1798,19,1779,52.00
2525,1798,49,1749,64.00
3737,1801,19,1782,64.00
7481,1793,40,1753,64.00
2517,1798,22,1776,63.00
1378,1796,59,1737,62.00
8807,1794,24,1770,60.00
5769,1792,18,1774,59.00
6946,1793,40,1753,65.00
8213,1794,22,1772,62.00
1394,1797,23,1774,63.00
8292,1794,37,1757,63.00
2521,1798,37,1761,64.00
4781,1791,40,1751,64.00
6723,1792,30,1762,62.00
1379,1796,30,1766,64.00
8104,1793,37,1756,56.00
7994,1793,32,1761,48.00
7995,1793,35,1758,64.00
8133,1793,22,1771,60.00
3736,1801,20,1781,60.00
1366,1795,40,1755,64.00
5215,1792,32,1760,64.00
3698,1800,37,1763,66.00
1375,1795,39,1756,63.00
7023,1793,34,1759,61.00
2523,1798,20,1778,69.00
1380,1796,42,1754,61.00
2488,1796,42,1754,61.00
6133,1792,23,1769,65.00
5347,1792,22,1770,60.00
2614,1798,23,1775,66.00
1428,1796,42,1754,63.00
1422,1796,27,1769,64.00
6894,1793,13,1780,54.00
378,1794,20,1774,64.00
1423,1796,30,1766,55.00
5300,1792,19,1773,64.00
1511,1797,24,1773,65.00
2649,1798,22,1776,64.00
8501,1794,23,1771,52.00
8515,1794,25,1769,52.00
5093,1791,25,1766,60.00
3836,1801,20,1781,64.00
3803,1801,19,1782,56.00
7965,1793,27,1766,60.00
22,1794,40,1754,64.00
1516,1797,14,1783,51.00
2651,1798,12,1786,66.00
6296,1792,10,1782,70.00
5901,1792,22,1770,60.00
412,1794,28,1766,60.00
1406,1796,23,1773,63.00
3834,1801,30,1771,66.00
3822,1801,26,1775,66.00
1409,1796,25,1771,60.00
7922,1793,23,1770,63.00
4899,1791,40,1751,66.00
3855,1801,55,1746,60.00
1420,1795,19,1776,63.00
2568,1797,31,1766,62.00
1509,1797,32,1765,62.00
6989,1793,11,1782,57.00
3846,1801,29,1772,64.00
3888,1801,29,1772,63.00
5315,1792,38,1754,63.00
1008,1795,19,1776,61.00
6225,1792,20,1772,62.00
5619,1792,39,1753,61.00
3758,1800,14,1786,60.00
3757,1800,34,1766,65.00
3754,1799,26,1773,67.00
3780,1800,11,1789,48.00
4616,1791,52,1739,62.00
1468,1797,22,1775,65.00
1517,1797,16,1781,50.00
6039,1792,10,1782,58.00
8307,1794,20,1774,60.00
2586,1797,34,1763,66.00
3773,1800,18,1782,64.00
3772,1800,48,1752,65.00
5219,1792,45,1747,61.00
6448,1792,17,1775,60.00
7252,1793,22,1771,62.00
6181,1792,11,1781,59.00
315,1794,23,1771,60.00
3801,1801,14,1787,58.00
409,1794,24,1770,54.00
3774,1800,27,1773,64.00
7886,1793,21,1772,60.00
3852,1801,59,1742,66.00
5616,1792,39,1753,63.00
6130,1792,14,1778,51.00
3790,1800,32,1768,64.00
1499,1797,30,1767,65.00
8493,1794,31,1763,60.00
319,1794,33,1761,65.00
3753,1800,24,1776,65.00
3885,1801,23,1778,67.00
6832,1793,38,1755,63.00
300,1794,26,1768,65.00
3857,1801,18,1783,66.00
2604,1798,43,1755,66.00
8117,1793,20,1773,60.00
282,1793,20,1773,60.00
7577,1793,26,1767,60.00
2550,1797,20,1777,61.00
1479,1797,20,1777,61.00
3833,1801,35,1766,64.00
3794,1800,44,1756,60.00
3891,1801,32,1769,66.00
8732,1794,28,1766,60.00
534,1794,34,1760,61.00
3746,1800,29,1771,60.00
6849,1793,95,1698,59.00
5313,1792,21,1771,62.00
3767,1800,39,1761,66.00
6080,1792,17,1775,65.00
8452,1794,65,1729,60.00
3876,1801,20,1781,66.00
8823,1794,35,1759,65.00
