"VagrantIDNumber","GenderofLeadVagrant","RelationshiptoLeadVagrant","NumberofPeopleinGroup","PersonType","VagrantCategory","SessionStartYear","SessionStartMonth","SettlementCounty","SettlementCountry"
"1.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1777,12,"Hertfordshire","England"
"10.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1777,12,"[unknown]","Ireland"
"100.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1777,12,"Middlesex","England"
"1000.1.1","M","[lead vagrant]",1,"Solo Male","Middlesex Vagrant",1779,12,"Kent","England"
"10000.1.2","M","[lead vagrant]",2,"Group Leader","City Vagrant",1785,10,"Cumberland","England"
"10000.2.2","F","[Wife]",2,"Dependent","City Vagrant",1785,10,"Cumberland","England"
"10001.1.3","M","[lead vagrant]",3,"Group Leader","Middlesex Vagrant",1785,10,"Berkshire","England"
"10001.2.3","[unknown]","[Child]",3,"Dependent","Middlesex Vagrant",1785,10,"Berkshire","England"
"10001.3.3","[unknown]","[Child]",3,"Dependent","Middlesex Vagrant",1785,10,"Berkshire","England"
"10002.1.1","M","[lead vagrant]",1,"Solo Male","Passing Vagrant",1785,10,"Essex","England"
"10003.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,10,"Dublin","Ireland"
"10004.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Cork","Ireland"
"10005.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,10,"Cork","Ireland"
"10006.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"[unknown]","Scotland"
"10007.1.1","M","[lead vagrant]",1,"Solo Male","Middlesex Vagrant",1785,10,"Worcestershire","England"
"10008.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Cork","Ireland"
"10009.1.1","M","[lead vagrant]",1,"Solo Male","Passed to Middlesex Home",1785,10,"Middlesex","England"
"1001.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1779,12,"Cornwall","England"
"10010.1.1","M","[lead vagrant]",1,"Solo Male","Passed to Middlesex Home",1785,10,"Middlesex","England"
"10011.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1785,10,"Middlesex","England"
"10012.1.1","M","[lead vagrant]",1,"Solo Male","Middlesex Vagrant",1785,10,"Somerset","England"
"10013.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Kilkenny","Ireland"
"10014.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,10,"Northamptonshire","England"
"10015.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Gloucestershire","England"
"10016.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1785,10,"Wiltshire","England"
"10017.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1785,10,"Middlesex","England"
"10018.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,10,"Dublin","Ireland"
"10019.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Donegal","Ireland"
"1002.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1779,12,"Middlesex","England"
"10020.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Westmeath","Ireland"
"10021.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,10,"Cork","Ireland"
"10022.1.2","M","[lead vagrant]",2,"Group Leader","City Vagrant",1785,10,"Somerset","England"
"10022.2.2","F","[Wife]",2,"Dependent","City Vagrant",1785,10,"Somerset","England"
"10023.1.1","M","[lead vagrant]",1,"Solo Male","Passed to Middlesex Home",1785,10,"Middlesex","England"
"10024.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1785,10,"Middlesex","England"
"10025.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Rutland","England"
"10026.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,10,"Cornwall","England"
"10027.1.2","F","[lead vagrant]",2,"Group Leader","Middlesex Vagrant",1785,10,"Surrey","England"
"10027.2.2","[unknown]","[Child]",2,"Dependent","Middlesex Vagrant",1785,10,"Surrey","England"
"10028.1.1","M","[lead vagrant]",1,"Solo Male","Middlesex Vagrant",1785,10,"Oxfordshire","England"
"10029.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Lancashire","England"
"1003.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1779,12,"Rutland","England"
"10030.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1785,10,"Bristol","England"
"10031.1.1","M","[lead vagrant]",1,"Solo Male","Middlesex Vagrant",1785,10,"Devon","England"
"10032.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1785,10,"Devon","England"
"10033.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Warwickshire","England"
"10034.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1785,10,"Middlesex","England"
"10035.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Cornwall","England"
"10036.1.1","[unknown]","[lead vagrant]",1,"Unknown Solo","City Vagrant",1785,10,"[illegible]","[illegible]"
"10037.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,10,"Lincolnshire","England"
"10038.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,10,"Worcestershire","England"
"10039.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Montgomeryshire","Wales"
"1004.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1779,12,"Kent","England"
"10040.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Yorkshire","England"
"10041.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Wexford","Ireland"
"10042.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1785,10,"Wiltshire","England"
"10043.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,10,"Worcestershire","England"
"10044.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,10,"Berkshire","England"
"10045.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Durham","England"
"10046.1.1","M","[lead vagrant]",1,"Solo Male","Passed to Middlesex Home",1785,10,"Middlesex","England"
"10047.1.1","M","[lead vagrant]",1,"Solo Male","Middlesex Vagrant",1785,10,"Cornwall","England"
"10048.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Durham","England"
"10049.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Staffordshire","England"
"1005.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1779,12,"Middlesex","England"
"10050.1.3","F","[lead vagrant]",3,"Group Leader","City Vagrant",1785,10,"Lincolnshire","England"
"10050.2.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1785,10,"Lincolnshire","England"
"10050.3.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1785,10,"Lincolnshire","England"
"10051.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Warwickshire","England"
"10052.1.1","M","[lead vagrant]",1,"Solo Male","Passed to Middlesex Home",1785,10,"Middlesex","England"
"10053.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Bristol","England"
"10054.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Yorkshire","England"
"10055.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Bristol","England"
"10056.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,10,"Somerset","England"
"10057.1.3","M","[lead vagrant]",3,"Group Leader","City Vagrant",1785,10,"Somerset","England"
"10057.2.3","[unknown]","[Wife]",3,"Dependent","City Vagrant",1785,10,"Somerset","England"
"10057.3.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1785,10,"Somerset","England"
"10058.1.2","F","[lead vagrant]",2,"Group Leader","Passed to Middlesex Home",1785,10,"Middlesex","England"
"10058.2.2","[unknown]","[Child]",2,"Dependent","Passed to Middlesex Home",1785,10,"Middlesex","England"
"10059.1.1","M","[lead vagrant]",1,"Solo Male","Middlesex Vagrant",1785,10,"Yorkshire","England"
"1006.1.1","M","[lead vagrant]",1,"Solo Male","Middlesex Vagrant",1779,12,"Cork","Ireland"
"10060.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Cork","Ireland"
"10061.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1785,10,"Middlesex","England"
"10062.1.1","M","[lead vagrant]",1,"Solo Male","Westminster Vagrant",1785,10,"Norfolk","England"
"10063.1.5","M","[lead vagrant]",5,"Group Leader","City Vagrant",1785,10,"[unknown]","Scotland"
"10063.2.5","F","[Wife]",5,"Dependent","City Vagrant",1785,10,"[unknown]","Scotland"
"10063.3.5","M","[Child]",5,"Dependent","City Vagrant",1785,10,"[unknown]","Scotland"
"10063.4.5","M","[Child]",5,"Dependent","City Vagrant",1785,10,"[unknown]","Scotland"
"10063.5.5","M","[Child]",5,"Dependent","City Vagrant",1785,10,"[unknown]","Scotland"
"10064.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,10,"Berkshire","England"
"10065.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1785,10,"Kent","England"
"10066.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1785,10,"Staffordshire","England"
"10067.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Berkshire","England"
"10068.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1785,10,"Middlesex","England"
"10069.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Cornwall","England"
"1007.1.3","F","[lead vagrant]",3,"Group Leader","City Vagrant",1779,12,"Lancashire","England"
"1007.2.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1779,12,"Lancashire","England"
"1007.3.3","[unknown]","[Child]",3,"Dependent","City Vagrant",1779,12,"Lancashire","England"
"10070.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Dublin","Ireland"
"10071.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Cork","Ireland"
"10072.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Waterford","Ireland"
"10073.1.1","M","[lead vagrant]",1,"Solo Male","Middlesex Vagrant",1785,10,"Warwickshire","England"
"10074.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1785,10,"Surrey","England"
"10075.1.1","M","[lead vagrant]",1,"Solo Male","Middlesex Vagrant",1785,10,"Sussex","England"
"10076.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,10,"Cork","Ireland"
"10077.1.1","M","[lead vagrant]",1,"Solo Male","Passing Vagrant",1785,10,"Kent","England"
"10078.1.2","F","[lead vagrant]",2,"Group Leader","Middlesex Vagrant",1785,10,"Staffordshire","England"
"10078.2.2","F","[Daughter]",2,"Dependent","Middlesex Vagrant",1785,10,"Staffordshire","England"
"10079.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Northumberland","England"
"1008.1.1","M","[lead vagrant]",1,"Solo Male","Westminster Vagrant",1779,12,"Glamorganshire","Wales"
"10080.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Cork","Ireland"
"10081.1.1","M","[lead vagrant]",1,"Solo Male","Passing Vagrant",1785,10,"Surrey","England"
"10082.1.1","M","[lead vagrant]",1,"Solo Male","Passed to Middlesex Home",1785,10,"Middlesex","England"
"10083.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Westmeath","Ireland"
"10084.1.4","M","[lead vagrant]",4,"Group Leader","City Vagrant",1785,10,"Hertfordshire","England"
"10084.2.4","F","[Wife]",4,"Dependent","City Vagrant",1785,10,"Hertfordshire","England"
"10084.3.4","[unknown]","[Child]",4,"Dependent","City Vagrant",1785,10,"Hertfordshire","England"
"10084.4.4","[unknown]","[Child]",4,"Dependent","City Vagrant",1785,10,"Hertfordshire","England"
"10085.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,10,"Cornwall","England"
"10086.1.1","F","[lead vagrant]",1,"Single Female","Passing Vagrant",1785,10,"Surrey","England"
"10087.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Wiltshire","England"
"10088.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,10,"Armagh","Ireland"
"10089.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1785,10,"Wiltshire","England"
"1009.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1779,12,"Middlesex","England"
"10090.1.1","M","[lead vagrant]",1,"Solo Male","Westminster Vagrant",1785,12,"Warwickshire","England"
"10091.1.2","M","[lead vagrant]",2,"Group Leader","Passed to Middlesex Home",1785,12,"Middlesex","England"
"10091.2.2","F","[Wife]",2,"Dependent","Passed to Middlesex Home",1785,12,"Middlesex","England"
"10092.1.2","M","[lead vagrant]",2,"Group Leader","Passing Vagrant",1785,12,"Kent","England"
"10092.2.2","F","[Wife]",2,"Dependent","Passing Vagrant",1785,12,"Kent","England"
"10093.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Derbyshire","England"
"10094.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Lincolnshire","England"
"10095.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Dublin","Ireland"
"10096.1.1","F","[lead vagrant]",1,"Single Female","Middlesex Vagrant",1785,12,"Berkshire","England"
"10097.1.4","F","[lead vagrant]",4,"Group Leader","Middlesex Vagrant",1785,12,"Shropshire","England"
"10097.2.4","[unknown]","[Child]",4,"Dependent","Middlesex Vagrant",1785,12,"Shropshire","England"
"10097.3.4","[unknown]","[Child]",4,"Dependent","Middlesex Vagrant",1785,12,"Shropshire","England"
"10097.4.4","[unknown]","[Child]",4,"Dependent","Middlesex Vagrant",1785,12,"Shropshire","England"
"10098.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Limerick","Ireland"
"10099.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,12,"Bristol","England"
"101.1.2","F","[lead vagrant]",2,"Group Leader","Westminster Vagrant",1777,12,"Hampshire","England"
"101.2.2","[unknown]","[Child]",2,"Dependent","Westminster Vagrant",1777,12,"Hampshire","England"
"1010.1.1","M","[lead vagrant]",1,"Solo Male","Passing Vagrant",1779,12,"Devon","England"
"10100.1.5","M","[lead vagrant]",5,"Group Leader","City Vagrant",1785,12,"Hertfordshire","England"
"10100.2.5","F","[Wife]",5,"Dependent","City Vagrant",1785,12,"Hertfordshire","England"
"10100.3.5","[unknown]","[Child]",5,"Dependent","City Vagrant",1785,12,"Hertfordshire","England"
"10100.4.5","[unknown]","[Child]",5,"Dependent","City Vagrant",1785,12,"Hertfordshire","England"
"10100.5.5","[unknown]","[Child]",5,"Dependent","City Vagrant",1785,12,"Hertfordshire","England"
"10101.1.5","M","[lead vagrant]",5,"Group Leader","Passing Vagrant",1785,12,"Surrey","England"
"10101.2.5","F","[Wife]",5,"Dependent","Passing Vagrant",1785,12,"Surrey","England"
"10101.3.5","[unknown]","[Child]",5,"Dependent","Passing Vagrant",1785,12,"Surrey","England"
"10101.4.5","[unknown]","[Child]",5,"Dependent","Passing Vagrant",1785,12,"Surrey","England"
"10101.5.5","[unknown]","[Child]",5,"Dependent","Passing Vagrant",1785,12,"Surrey","England"
"10102.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Yorkshire","England"
"10103.1.1","M","[lead vagrant]",1,"Solo Male","Middlesex Vagrant",1785,12,"Yorkshire","England"
"10104.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1785,12,"Yorkshire","England"
"10105.1.1","F","[lead vagrant]",1,"Single Female","Passed to Middlesex Home",1785,12,"Middlesex","England"
"10106.1.1","F","[lead vagrant]",1,"Single Female","Westminster Vagrant",1785,12,"[unknown]","Ireland"
"10107.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Carlow","Ireland"
"10108.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,12,"Warwickshire","England"
"10109.1.1","F","[lead vagrant]",1,"Single Female","City Vagrant",1785,12,"Shropshire","England"
"1011.1.1","M","[lead vagrant]",1,"Solo Male","Passed to Middlesex Home",1779,12,"Middlesex","England"
"10110.1.1","M","[lead vagrant]",1,"Solo Male","Passed to Middlesex Home",1785,12,"Middlesex","England"
"10111.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Yorkshire","England"
"10112.1.1","M","[lead vagrant]",1,"Solo Male","City Vagrant",1785,12,"Oxfordshire","England"
