"id","h_year","age","year_birth","height","daterc","source","ref_id"
1,1863,30,1833,57.50,"1864-04-22","m","4_36_13"
3,1865,35,1830,64.75,"1866-01-05","m","4_40_33"
5,1865,30,1835,58.50,"1866-01-05","m","4_40_38"
13,1866,38,1828,62.00,"1866-07-17","m","4_41_12"
15,1865,29,1836,57.50,"1866-01-05","m","4_41_60"
20,1864,22,1842,62.00,"1869-12-04","m","4_42_10"
33,1866,24,1842,60.50,"1869-08-31","m","4_42_44"
67,1866,27,1839,61.00,"1873-01-08","m","4_44_24"
71,1868,41,1827,61.00,"1868-03-31","m","4_44_46"
88,1868,40,1828,64.00,"1868-10-16","m","4_45_10"
96,1868,21,1847,60.00,"1868-06-30","m","4_45_28"
112,1868,32,1836,63.00,"1868-06-30","m","4_46_12"
118,1868,22,1846,62.00,"1868-11-14","m","4_46_23"
132,1868,26,1842,63.75,"1869-01-27","m","4_46_57"
142,1868,36,1832,63.75,"1870-08-11","m","4_47_35"
134,1866,40,1826,63.25,"1871-03-14","m","4_47_7"
151,1880,27,1853,63.00,"1880-08-06","m","4_48_12"
153,1880,35,1845,62.50,"1880-05-27","m","4_48_17"
157,1876,41,1835,63.00,"1871-09-15","m","4_48_29"
149,1878,24,1854,61.00,"1878-11-30","m","4_48_7"
162,1879,30,1849,59.00,"1879-04-12","m","4_49_1"
166,1877,35,1842,61.00,"1872-03-20","m","4_49_10"
170,1879,38,1841,65.00,"1879-05-13","m","4_49_25"
164,1880,29,1851,62.00,"1880-07-13","m","4_49_5"
176,1878,60,1818,62.00,"1878-11-16","m","4_50_14"
178,1879,39,1840,61.00,"1873-11-05","m","4_50_16"
172,1880,30,1850,59.00,"1880-11-02","m","4_50_4"
174,1879,28,1851,63.00,"1879-05-13","m","4_50_8"
184,1878,50,1828,64.00,"1878-11-07","m","4_51_1"
190,1880,45,1835,59.00,"1880-03-19","m","4_51_14"
192,1868,22,1846,64.00,"1868-07-01","m","4_51_16"
199,1880,33,1847,59.00,"1872-05-17","m","4_51_17"
203,1880,50,1830,65.00,"1870-02-16","m","4_51_20"
186,1879,33,1846,62.00,"1879-08-21","m","4_51_5"
188,1880,53,1827,65.00,"1880-11-02","m","4_51_9"
223,1881,23,1858,61.50,"1881-08-24","m","4_52_10"
214,1878,30,1848,59.50,"1869-06-26","m","4_52_2"
221,1878,58,1820,64.00,"1879-02-06","m","4_52_9"
228,1881,21,1860,62.00,"1881-03-22","m","4_53_11"
230,1878,34,1844,64.50,"1873-06-27","m","4_53_16"
234,1880,27,1853,59.00,"1870-08-11","m","4_53_17"
238,1880,32,1848,60.00,"1880-08-06","m","4_53_18"
240,1879,63,1816,59.00,"1872-03-20","m","4_53_19"
244,1874,23,1851,63.00,"1874-10-17","m","4_53_25"
224,1879,22,1857,62.50,"1879-02-25","m","4_53_3"
226,1880,40,1840,61.00,"1880-08-06","m","4_53_9"
254,1879,28,1851,60.00,"1869-10-12","m","4_54_17"
258,1878,33,1845,60.00,"1879-02-06","m","4_54_19"
246,1877,29,1848,60.00,"1877-11-06","m","4_54_2"
260,1880,22,1858,62.00,"1881-02-16","m","4_54_22"
263,1878,50,1828,61.00,"1878-11-16","m","4_54_24"
265,1880,55,1825,60.00,"1880-11-02","m","4_54_25"
248,1880,36,1844,61.50,"1880-08-06","m","4_54_6"
250,1876,49,1827,57.00,"1871-06-15","m","4_54_7"
269,1881,30,1851,63.00,"1881-08-11","m","4_55_10"
272,1881,49,1832,63.00,"1881-10-26","m","4_55_15"
276,1880,75,1805,58.00,"1875-11-12","m","4_55_26"
267,1879,59,1820,58.50,"1879-08-21","m","4_55_3"
290,1879,38,1841,61.00,"1872-03-20","m","4_56_12"
281,1880,29,1851,60.50,"1870-04-22","m","4_56_2"
296,1881,23,1858,67.00,"1881-10-26","m","4_56_21"
298,1881,40,1841,62.00,"1881-06-01","m","4_56_22"
300,1879,40,1839,62.00,"1872-03-20","m","4_56_23"
285,1881,25,1856,62.50,"1881-01-28","m","4_56_3"
286,1880,40,1840,60.00,"1880-10-04","m","4_56_4"
288,1878,33,1845,60.50,"1878-07-18","m","4_56_6"
312,1881,31,1850,65.50,"1881-05-19","m","4_57_22"
306,1881,24,1857,57.50,"1882-05-04","m","4_57_3"
308,1878,24,1854,58.50,"1872-11-28","m","4_57_7"
322,1878,36,1842,59.00,"1871-08-07","m","4_58_13"
326,1882,27,1855,58.50,"1882-04-01","m","4_58_14"
313,1878,37,1841,63.50,"1874-03-11","m","4_58_3"
318,1881,32,1849,65.00,"1872-07-03","m","4_58_8"
328,1883,21,1862,61.50,"1883-10-30","m","4_59_14"
329,1880,39,1841,62.00,"1874-05-22","m","4_59_24"
333,1880,39,1841,61.50,"1875-01-04","m","4_59_26"
337,1880,59,1821,58.50,"1872-07-03","m","4_60_12"
344,1862,40,1822,61.50,"1882-08-01","m","4_60_21"
346,1880,36,1844,62.00,"1871-02-23","m","4_61_1"
363,1880,38,1842,65.00,"1874-12-23","m","4_61_13"
369,1882,20,1862,62.50,"1882-07-21","m","4_61_14"
371,1883,36,1847,58.00,"1883-03-28","m","4_61_15"
373,1876,38,1838,62.00,"1872-02-17","m","4_61_21"
351,1881,30,1851,61.00,"1870-04-22","m","4_61_7"
361,1881,30,1851,60.00,"1882-05-04","m","4_61_9"
384,1872,21,1851,62.00,"1872-07-27","m","4_62_12"
391,1880,45,1835,66.00,"1868-11-14","m","4_62_16"
399,1882,43,1839,62.00,"1882-12-05","m","4_62_19"
382,1882,32,1850,60.00,"1882-02-02","m","4_62_6"
401,1879,38,1841,67.00,"1874-03-11","m","4_63_1"
408,1877,26,1851,60.00,"1867-10-28","m","4_63_10"
417,1883,33,1850,59.00,"1883-01-18","m","4_63_12"
406,1883,49,1834,62.00,"1883-01-10","m","4_63_5"
428,1883,55,1828,61.50,"1883-03-28","m","4_64_18"
419,1883,35,1848,62.50,"1883-02-21","m","4_64_4"
421,1879,38,1841,59.00,"1874-08-05","m","4_64_6"
430,1880,29,1851,59.50,"1873-02-19","m","4_65_1"
436,1878,25,1853,62.00,"1872-12-23","m","4_65_11"
442,1881,36,1845,62.00,"1876-10-07","m","4_65_13"
448,1878,24,1854,62.00,"1878-07-15","m","4_66_17"
452,1881,32,1849,61.00,"1876-04-01","m","4_67_1"
456,1883,30,1853,61.50,"1883-12-06","m","4_67_22"
465,1883,51,1832,57.00,"1874-11-26","m","4_68_10"
469,1882,21,1861,65.50,"1882-10-30","m","4_68_16"
458,1883,41,1842,60.50,"1880-02-16","m","4_68_7"
