"id","h_year","age","year_birth","height"
9426,1889,44,1845,48.00
78110,1907,29,1878,48.00
41046,1897,38,1859,48.25
72611,1905,20,1885,48.25
43416,1898,38,1860,48.50
21918,1892,55,1837,48.75
94946,1910,49,1861,48.75
61718,1903,43,1860,49.00
65001,1904,50,1854,49.00
29737,1904,60,1844,49.50
25498,1893,55,1838,50.50
68937,1905,19,1886,51.50
27830,1894,68,1826,52.00
74053,1906,35,1871,52.00
78080,1907,39,1868,52.00
120629,1916,44,1872,52.00
100672,1911,55,1856,52.25
107787,1912,42,1870,52.25
72918,1905,49,1856,52.75
420,1881,60,1821,53.00
46995,1899,42,1857,53.00
57238,1902,41,1861,53.00
69269,1905,29,1876,53.00
5696,1882,20,1862,53.25
12310,1889,11,1878,53.25
23434,1893,33,1860,53.50
66372,1904,29,1875,53.50
73478,1906,43,1863,53.50
88713,1909,70,1839,53.50
99726,1911,72,1839,53.50
101858,1911,48,1863,53.50
3334,1881,46,1835,54.00
11147,1889,43,1846,54.00
11465,1889,24,1865,54.00
13232,1890,48,1842,54.00
18686,1891,61,1830,54.00
28499,1894,68,1826,54.00
29412,1894,58,1836,54.00
29700,1894,52,1842,54.00
35139,1896,49,1847,54.00
37916,1896,61,1835,54.00
69212,1905,22,1883,54.00
72064,1905,48,1857,54.00
74825,1906,22,1884,54.00
84663,1908,62,1846,54.00
85533,1908,48,1860,54.00
90505,1909,40,1869,54.00
92140,1909,62,1847,54.00
109505,1913,28,1885,54.00
114300,1914,29,1885,54.00
120314,1916,24,1892,54.00
62364,1903,27,1876,54.25
93506,1910,27,1883,54.25
1734,1881,26,1855,54.50
10364,1889,40,1849,54.50
12973,1890,23,1867,54.50
13771,1890,57,1833,54.50
15230,1890,31,1859,54.50
24019,1893,31,1862,54.50
29337,1894,19,1875,54.50
29350,1894,60,1834,54.50
31705,1895,33,1862,54.50
38018,1896,50,1846,54.50
45204,1898,25,1873,54.50
50679,1900,27,1873,54.50
53703,1901,32,1869,54.50
59128,1902,19,1883,54.50
60083,1902,30,1872,54.50
63365,1903,20,1883,54.50
65798,1904,34,1870,54.50
91626,1909,34,1875,54.50
3206,1881,46,1835,54.75
4394,1882,35,1847,54.75
56799,1901,64,1837,54.75
77072,1906,22,1884,54.75
1587,1881,30,1851,55.00
6009,1882,28,1854,55.00
7162,1882,17,1865,55.00
9070,1889,52,1837,55.00
9328,1889,40,1849,55.00
9419,1889,25,1864,55.00
12421,1889,24,1865,55.00
16345,1890,32,1858,55.00
17035,1891,64,1827,55.00
18084,1891,25,1866,55.00
18383,1891,56,1835,55.00
19327,1891,26,1865,55.00
20685,1892,41,1851,55.00
23417,1893,42,1851,55.00
26487,1893,68,1825,55.00
26643,1893,39,1854,55.00
32871,1895,73,1822,55.00
34205,1895,21,1874,55.00
35829,1896,20,1876,55.00
41485,1897,19,1878,55.00
43328,1898,40,1858,55.00
51816,1900,31,1869,55.00
55450,1901,26,1875,55.00
55912,1901,42,1859,55.00
60281,1902,44,1858,55.00
68480,1904,24,1880,55.00
77371,1906,50,1856,55.00
88852,1909,52,1857,55.00
108310,1913,24,1889,55.00
109343,1913,29,1884,55.00
110879,1913,41,1872,55.00
117123,1915,38,1877,55.00
117954,1915,72,1843,55.00
120796,1916,43,1873,55.00
121084,1916,61,1855,55.00
126836,1920,66,1854,55.00
129712,1922,69,1853,55.00
23448,1893,64,1829,55.25
45394,1898,30,1868,55.25
45752,1898,27,1871,55.25
120494,1916,67,1849,55.25
133437,1924,26,1898,55.25
978,1881,40,1841,55.50
3814,1881,20,1861,55.50
5340,1882,29,1853,55.50
6017,1882,29,1853,55.50
6114,1882,37,1845,55.50
6523,1882,24,1858,55.50
6733,1882,50,1832,55.50
7894,1882,22,1860,55.50
10692,1889,48,1841,55.50
10694,1889,24,1865,55.50
11834,1889,51,1838,55.50
12792,1890,60,1830,55.50
15031,1890,24,1866,55.50
15823,1910,64,1846,55.50
18708,1891,45,1846,55.50
21280,1892,55,1837,55.50
21698,1892,50,1842,55.50
21879,1892,46,1846,55.50
24413,1893,42,1851,55.50
29668,1894,31,1863,55.50
30743,1894,29,1865,55.50
35381,1896,49,1847,55.50
45819,1898,37,1861,55.50
54413,1901,49,1852,55.50
60728,1903,27,1876,55.50
61864,1903,36,1867,55.50
62243,1903,29,1874,55.50
62796,1903,49,1854,55.50
65270,1904,45,1859,55.50
65438,1904,37,1867,55.50
67429,1904,28,1876,55.50
67777,1904,67,1837,55.50
68094,1904,48,1856,55.50
72638,1905,48,1857,55.50
77342,1906,56,1850,55.50
80903,1907,50,1857,55.50
82743,1908,33,1875,55.50
85851,1908,36,1872,55.50
