"id","CountryName","CountryCode","IndicatorName","IndicatorCode",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
149,"Aruba","ABW","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT",106.2062,102.8116,99.417,94.4542,89.4914,84.5286,79.5658,74.603,71.665,68.727,65.789,62.851,59.913,59.0044,58.0958,57.1872,56.2786,55.37,54.9542,54.5384,54.1226,53.7068,53.291,53.0288,52.7666,52.5044,52.2422,51.98,51.41,50.84,50.27,49.7,49.13,48.7648,48.3996,48.0344,47.6692,47.304,46.067,44.83,43.593,42.356,41.119,39.5738,38.0286,36.4834,34.9382,33.393,32.0268,30.6606,29.2944,27.9282,26.562,24.842,23.122,21.402,"",""
150,"Aruba","ABW","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE",181.484,175.849,170.213,166.562,162.911,159.26,155.609,151.957,146.205,140.452,134.7,128.947,123.195,119.658,116.121,112.585,109.048,105.511,103.74,101.969,100.199,98.428,96.657,95.556,94.456,93.355,92.255,91.154,90.796,90.437,90.078,89.72,89.361,89.007,88.653,88.299,87.944,87.59,87.256,86.923,86.589,86.255,85.921,84.721,83.521,82.322,81.122,79.922,78.855,77.789,76.722,75.655,74.589,73.561,72.534,71.506,"",""
151,"Aruba","ABW","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA",227.253,223.17,219.087,215.33,211.574,207.817,204.061,200.304,197.676,195.048,192.42,189.792,187.164,183.914,180.663,177.413,174.163,170.913,166.633,162.353,158.073,153.793,149.513,148.759,148.004,147.25,146.495,145.741,144.988,144.235,143.482,142.729,141.976,141.725,141.475,141.225,140.974,140.724,139.937,139.15,138.363,137.576,136.789,135.137,133.485,131.832,130.18,128.527,126.884,125.241,123.598,121.954,120.311,118.655,116.999,115.343,"",""
153,"Aruba","ABW","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN",67.129,67.625,68.065,68.458,68.817,69.165,69.526,69.917,70.345,70.811,71.306,71.815,72.313,72.779,73.204,73.579,73.902,74.183,74.43,74.647,74.839,75.01,75.164,75.305,75.436,75.556,75.663,75.754,75.827,75.886,75.932,75.969,76.002,76.033,76.066,76.1,76.133,76.164,76.192,76.221,76.257,76.307,76.375,76.465,76.575,76.703,76.845,76.992,77.14,77.285,77.425,77.561,77.695,77.83,77.965,78.1,"",""
154,"Aruba","ABW","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN",64.084,64.429,64.747,65.053,65.356,65.66,65.959,66.242,66.503,66.745,66.972,67.19,67.405,67.626,67.857,68.11,68.394,68.706,69.041,69.387,69.726,70.036,70.301,70.51,70.66,70.757,70.814,70.851,70.886,70.924,70.969,71.018,71.062,71.098,71.126,71.148,71.168,71.19,71.219,71.259,71.312,71.382,71.469,71.572,71.688,71.816,71.952,72.093,72.235,72.377,72.516,72.654,72.791,72.929,73.068,73.208,"",""
155,"Aruba","ABW","Fertility rate, total (births per woman)","SP.DYN.TFRT.IN",4.82,4.655,4.471,4.271,4.059,3.842,3.625,3.417,3.226,3.054,2.908,2.788,2.691,2.613,2.552,2.506,2.472,2.446,2.425,2.408,2.392,2.377,2.364,2.353,2.342,2.332,2.32,2.307,2.291,2.272,2.249,2.221,2.187,2.149,2.108,2.064,2.021,1.978,1.939,1.903,1.872,1.846,1.823,1.803,1.787,1.774,1.766,1.763,1.764,1.769,1.776,1.783,1.791,1.796,1.8,1.801,"",""
156,"Aruba","ABW","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS",69.91539,70.81053,71.70567,72.28395,72.86223,73.44051,74.01879,74.59707,75.50421,76.41135,77.31848,78.22562,79.13275,79.70138,80.27001,80.83864,81.40727,81.97589,82.26398,82.55206,82.84015,83.12823,83.41632,83.59711,83.77791,83.9587,84.1395,84.32029,84.37938,84.43848,84.49757,84.55667,84.61576,84.67424,84.73273,84.79121,84.84969,84.90818,84.96336,85.01855,85.07373,85.12892,85.18411,85.3832,85.58229,85.78138,85.98047,86.17956,86.35732,86.53508,86.71284,86.8906,87.06836,87.24025,87.41215,87.58404,"",""
157,"Aruba","ABW","Survival to age 65, male (% of cohort)","SP.DYN.TO65.MA.ZS",63.021,63.62625,64.2315,64.78999,65.34848,65.90696,66.46545,67.02393,67.41657,67.8092,68.20184,68.59447,68.98711,69.46747,69.94783,70.42818,70.90854,71.3889,72.02842,72.66793,73.30745,73.94697,74.58649,74.70036,74.81423,74.9281,75.04197,75.15584,75.26979,75.38373,75.49768,75.61163,75.72558,75.76353,75.80149,75.83944,75.8774,75.91535,76.03488,76.15442,76.27395,76.39348,76.51302,76.7652,77.01739,77.26958,77.52177,77.77396,78.02917,78.28437,78.53958,78.79479,79.04999,79.3079,79.56581,79.82372,"",""
313,"Afghanistan","AFG","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT",145.321,145.321,145.321,145.321,145.321,145.321,145.321,145.321,145.321,145.321,145.321,145.321,145.321,146.215,147.109,148.003,148.897,149.791,150.8782,151.9654,153.0526,154.1398,155.227,156.3758,157.5246,158.6734,159.8222,160.971,161.56,162.149,162.738,163.327,163.916,164.1812,164.4464,164.7116,164.9768,165.242,161.4432,157.6444,153.8456,150.0468,146.248,140.4764,134.7048,128.9332,123.1616,117.39,111.4708,105.5516,99.6324,93.7132,87.794,82.2638,76.7336,71.2034,"",""
314,"Afghanistan","AFG","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE",551.122,545.51,539.898,534.645,529.392,524.139,518.886,513.633,508.259,502.885,497.512,492.138,486.764,480.737,474.71,468.683,462.656,456.629,449.341,442.054,434.766,427.478,420.19,410.705,401.22,391.735,382.25,372.765,364.512,356.259,348.006,339.752,331.499,326.243,320.987,315.731,310.475,305.218,299.408,293.597,287.786,281.975,276.164,269.54,262.917,256.293,249.669,243.045,238.354,233.662,228.971,224.28,219.588,215.307,211.026,206.746,"",""
315,"Afghanistan","AFG","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA",604.597,598.908,593.219,587.752,582.284,576.817,571.35,565.882,560.333,554.784,549.236,543.687,538.138,531.889,525.64,519.391,513.142,506.893,499.246,491.599,483.952,476.305,468.658,459.362,450.067,440.771,431.475,422.18,413.482,404.784,396.086,387.388,378.69,373.407,368.125,362.842,357.559,352.277,346.143,340.009,333.875,327.741,321.607,314.533,307.459,300.386,293.312,286.238,281.258,276.279,271.299,266.32,261.34,257.135,252.93,248.724,"",""
317,"Afghanistan","AFG","Life expectancy at birth, female (years)","SP.DYN.LE00.FE.IN",33.133,33.586,34.03,34.469,34.904,35.337,35.768,36.2,36.634,37.072,37.518,37.97,38.432,38.904,39.39,39.891,40.409,40.945,41.503,42.086,42.705,43.369,44.08,44.837,45.636,46.473,47.345,48.239,49.138,50.024,50.874,51.667,52.393,53.051,53.643,54.179,54.676,55.156,55.642,56.145,56.678,57.249,57.849,58.468,59.1,59.73,60.346,60.933,61.486,61.999,62.476,62.924,63.354,63.778,64.197,64.613,"",""
318,"Afghanistan","AFG","Life expectancy at birth, male (years)","SP.DYN.LE00.MA.IN",31.58,32.026,32.466,32.903,33.338,33.771,34.204,34.636,35.069,35.505,35.946,36.392,36.847,37.312,37.791,38.287,38.801,39.334,39.89,40.471,41.085,41.738,42.432,43.164,43.93,44.728,45.554,46.399,47.249,48.086,48.89,49.638,50.323,50.941,51.497,51.999,52.465,52.918,53.379,53.861,54.376,54.929,55.515,56.121,56.74,57.359,57.964,58.543,59.086,59.589,60.054,60.484,60.892,61.286,61.67,62.046,"",""
319,"Afghanistan","AFG","Fertility rate, total (births per woman)","SP.DYN.TFRT.IN",7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.449,7.449,7.449,7.449,7.449,7.45,7.452,7.455,7.458,7.46,7.461,7.461,7.461,7.466,7.479,7.502,7.535,7.572,7.606,7.63,7.635,7.616,7.569,7.494,7.392,7.271,7.136,6.988,6.827,6.651,6.46,6.254,6.038,5.816,5.595,5.38,5.174,4.981,4.802,"",""
320,"Afghanistan","AFG","Survival to age 65, female (% of cohort)","SP.DYN.TO65.FE.ZS",21.20095,21.73633,22.27172,22.80175,23.33178,23.86181,24.39184,24.92187,25.49266,26.06344,26.63422,27.20501,27.77579,28.44994,29.12408,29.79823,30.47237,31.14652,32.00895,32.87138,33.73382,34.59625,35.45868,36.66007,37.86147,39.06286,40.26425,41.46565,42.64541,43.82517,45.00493,46.18469,47.36445,48.11055,48.85665,49.60275,50.34886,51.09496,51.94104,52.78711,53.63319,54.47927,55.32535,56.31773,57.31011,58.30249,59.29487,60.28726,61.00975,61.73225,62.45475,63.17724,63.89974,64.57237,65.245,65.91763,"",""
321,"Afghanistan","AFG","Survival to age 65, male (% of cohort)","SP.DYN.TO65.MA.ZS",17.59364,18.08239,18.57114,19.06968,19.56821,20.06675,20.56528,21.06382,21.59812,22.13242,22.66672,23.20102,23.73532,24.37077,25.00622,25.64168,26.27713,26.91258,27.73798,28.56337,29.38876,30.21416,31.03955,32.1369,33.23425,34.3316,35.42894,36.52629,37.62711,38.72792,39.82873,40.92955,42.03036,42.72012,43.40987,44.09963,44.78938,45.47914,46.30197,47.1248,47.94763,48.77046,49.59329,50.57191,51.55053,52.52915,53.50777,54.48639,55.19505,55.90372,56.61238,57.32105,58.02971,58.6408,59.2519,59.86299,"",""
477,"Angola","AGO","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT",234.684,235.002,235.32,235.32,235.32,235.32,235.32,235.32,235.002,234.684,234.366,234.048,233.73,233.73,233.73,233.73,233.73,233.73,233.412,233.094,232.776,232.458,232.14,231.822,231.504,231.186,230.868,230.55,229.914,229.278,228.642,228.006,227.37,225.38,223.39,221.4,219.41,217.42,215.1712,212.9224,210.6736,208.4248,206.176,202.6216,199.0672,195.5128,191.9584,188.404,185.912,183.42,180.928,178.436,175.944,171.2734,166.6028,161.9322,"",""
478,"Angola","AGO","Mortality rate, adult, female (per 1,000 female adults)","SP.DYN.AMRT.FE",498.232,494.482,490.731,486.126,481.521,476.916,472.311,467.705,463.195,458.685,454.175,449.665,445.154,440.734,436.313,431.892,427.472,423.051,420.438,417.826,415.213,412.6,409.988,408.481,406.975,405.468,403.962,402.455,400.316,398.178,396.039,393.9,391.762,386.523,381.283,376.044,370.805,365.566,355.259,344.953,334.646,324.339,314.033,303.361,292.69,282.019,271.347,260.676,251.656,242.637,233.617,224.597,215.577,212.458,209.339,206.219,"",""
479,"Angola","AGO","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA",561.897,558.226,554.556,549.975,545.395,540.814,536.234,531.653,526.909,522.165,517.421,512.676,507.932,503.498,499.065,494.631,490.197,485.763,484.378,482.993,481.607,480.222,478.837,477.686,476.535,475.385,474.234,473.083,471.936,470.789,469.641,468.494,467.347,461.699,456.052,450.405,444.757,439.11,428.812,418.515,408.217,397.919,387.622,376.772,365.922,355.073,344.223,333.373,324.524,315.675,306.825,297.976,289.127,285.989,282.85,279.712,"",""
